test,predict
84000.0,65340.32462662924
85000.0,26484.54551147949
89950.0,34639.875693185255
95000.0,124545.4232648788
95000.0,-56217.52477541752
100000.0,48193.99822979607
107000.0,112352.18881329801
110000.0,154375.74604114052
110700.0,71173.02999583259
115000.0,80323.97283392306
115000.0,92224.73971771728
120000.0,-124971.32593668997
121800.0,65858.20319636539
122000.0,148956.26003373135
122000.0,-33204.27299726568
123000.0,107429.88284092024
123300.0,244204.2368641328
124500.0,-31263.038227703422
125000.0,338731.8232548917
128000.0,23247.002011216246
128000.0,217054.90087050293
128000.0,177540.2031653775
129000.0,181934.26059382223
132825.0,106162.52262649313
133000.0,61514.680847045034
133400.0,16300.507539957762
135900.0,79837.60104457475
137000.0,111639.55683600157
137900.0,160146.44259623066
139500.0,190371.17086789478
140000.0,92138.3513314575
140000.0,316623.8097138498
140000.0,54255.76453297399
142000.0,-521024.53371563274
144000.0,132344.1282761451
146000.0,47321.85481532384
147000.0,265480.9815170737
147200.0,136207.8344116239
150000.0,-94057.28957791068
150000.0,-125566.71948028728
150000.0,-151126.7739285864
150000.0,139090.28770772833
150000.0,152674.0984138269
150000.0,185029.2975245118
150000.0,179791.79329075292
150000.0,213329.3648735825
150550.0,250522.5064703375
152000.0,607.6113256923854
152900.0,179842.74798580166
153000.0,153687.56846899632
153500.0,215390.29213800188
155000.0,103504.2463334417
156000.0,36179.0796873346
157000.0,106348.54951613303
157500.0,151796.27635125536
159995.0,128155.3351486316
160000.0,521741.54122940917
160000.0,150841.56294007134
160000.0,314902.612594462
160000.0,146465.89202039968
160000.0,143674.8006890472
160797.0,194083.2549350923
163000.0,210292.90366729442
164000.0,146477.07659852505
165000.0,274522.3226478426
165000.0,119304.5170260584
165000.0,82393.24303258955
165000.0,176480.02826975659
165000.0,189245.3339592619
165050.0,52724.189877920784
166000.0,135512.63474746235
166000.0,154712.05433691293
167500.0,105033.21419626568
168500.0,124211.21187368408
169575.0,203463.16731107794
169950.0,51161.10409385525
170000.0,91506.81684263516
170000.0,87188.8534456743
170000.0,257706.74716653116
170000.0,178683.19336724747
170000.0,312083.9238697272
170000.0,203266.16069437657
170000.0,26319.603215990588
171000.0,239749.91754654422
171500.0,13895.86019306723
171800.0,220413.2896501124
175000.0,203418.20423113927
175000.0,61901.85371057782
175000.0,473105.8581430195
175000.0,162929.81798151974
175000.0,209717.82815975603
175000.0,249894.072460277
175000.0,197447.99296907056
175000.0,215979.01111318078
175000.0,166506.57852386497
175000.0,301289.5817856714
176000.0,42875.33503974881
178500.0,112532.78513731156
178500.0,266837.5601432761
179000.0,160013.3015716551
179500.0,168056.3183507044
179900.0,84180.63700096309
179950.0,158699.18493984733
179950.0,31740.958585025743
180000.0,105448.50838024914
180000.0,87379.33666212577
180000.0,283223.2570460923
180000.0,158769.3432934424
180000.0,379263.96528439317
180000.0,364614.0202986868
180000.0,181096.22183851805
180250.0,113555.85323999636
181000.0,361740.48146055266
182568.0,195642.19316243846
182700.0,281640.41109985206
183000.0,179589.7050795462
183000.0,193296.9294445049
183000.0,23621.928543011658
183500.0,88458.78347234894
183500.0,16432.434050682
184000.0,132486.9233531654
184500.0,68562.15649156924
185000.0,46037.85624892358
185000.0,30372.023020067252
185000.0,168455.2435128847
185000.0,322490.217301311
185000.0,276277.88766287826
185000.0,239629.8928813655
185000.0,185119.6158984052
186950.0,246501.29198422842
187000.0,59485.22022151947
187000.0,238274.11269159615
187000.0,104305.46448599081
188000.0,331484.5597756645
189000.0,87356.6545113232
189000.0,328600.04117413517
189950.0,32488.92614280898
190000.0,-24344.41523730941
190000.0,325457.3573853653
190000.0,-99659.19519885816
190000.0,215894.24693207536
190000.0,275488.64009467233
190000.0,212407.22289744858
190000.0,368113.7722915858
190000.0,14045.609109698795
190000.0,207171.13400758523
190500.0,183453.55266018026
190848.0,178964.80681979097
191000.0,70534.01832390949
191000.0,335706.56769933086
191950.0,263158.0913515547
192000.0,303235.60225813277
192500.0,188487.45883957483
192950.0,21071.618645990267
